Trinity County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,14.47
200002,16.34
200003,4.22
200004,4.98
200005,2.69
200006,0.46
200007,0.18
200008,0.04
200009,0.60
200010,4.34
200011,2.71
200012,3.67
200101,6.27
200102,7.91
200103,5.22
200104,2.57
200105,0.62
200106,1.39
200107,0.15
200108,0.03
200109,1.24
200110,1.77
200111,15.40
200112,15.61
200201,8.22
200202,6.56
200203,3.31
200204,2.14
200205,1.44
200206,0.09
200207,0.12
200208,0.01
200209,0.05
200210,0.01
200211,7.58
200212,31.21
200301,7.74
200302,3.79
200303,8.06
200304,13.02
200305,1.43
200306,0.02
200307,0.12
200308,1.27
200309,0.44
200310,0.06
200311,8.36
200312,16.32
200401,8.75
200402,16.36
200403,3.15
200404,2.38
200405,1.05
200406,0.29
200407,0.03
200408,0.08
200409,0.10
200410,6.62
200411,2.79
200412,12.11
200501,7.00
200502,4.16
200503,10.19
200504,5.43
200505,7.94
200506,2.58
200507,0.03
200508,0.00
200509,0.03
200510,1.34
200511,9.37
200512,27.73
200601,13.59
200602,7.42
200603,12.66
200604,7.48
200605,1.89
200606,0.60
200607,0.02
200608,0.13
200609,0.03
200610,0.41
200611,8.75
200612,11.47
200701,1.66
200702,11.90
200703,1.45
200704,3.45
200705,1.11
200706,0.13
200707,0.48
200708,0.04
200709,0.20
200710,6.27
200711,1.83
200712,9.60
200801,16.19
200802,7.11
200803,1.88
200804,1.37
200805,1.06
200806,0.14
200807,0.00
200808,0.05
200809,0.06
200810,2.85
200811,5.62
200812,6.24
200901,2.03
200902,9.84
200903,6.15
200904,1.15
200905,4.89
200906,2.18
200907,0.06
200908,0.62
200909,0.21
200910,4.77
200911,3.75
200912,6.43
201001,15.28
201002,8.21
201003,5.82
201004,10.26
201005,3.64
201006,0.99
201007,0.04
201008,0.16
201009,0.79
201010,7.90
201011,6.41
201012,15.42
201101,2.51
201102,5.27
201103,17.27
201104,4.22
201105,3.31
201106,2.76
201107,0.21
201108,0.01
201109,0.19
201110,5.19
201111,4.54
201112,1.29
201201,10.69
201202,3.74
201203,16.18
201204,5.04
201205,0.44
201206,0.89
201207,0.30
201208,0.01
201209,0.00
201210,2.46
201211,10.81
201212,18.44
201301,2.16
201302,1.16
201303,4.38
201304,2.53
201305,1.55
201306,1.08
201307,0.23
201308,0.61
201309,2.53
201310,0.10
201311,1.89
201312,0.89
201401,1.54
201402,10.34
201403,11.05
201404,1.58
201405,0.56
201406,0.13
201407,0.23
201408,0.15
201409,2.76
201410,6.07
201411,5.61
201412,15.28
201501,1.79
201502,11.74
201503,2.53
201504,2.03
201505,1.23
201506,0.58
201507,0.76
201508,0.15
201509,0.76
201510,0.92
201511,2.69
201512,18.03
201601,19.74
201602,3.28
201603,14.97
201604,2.92
201605,1.59
201606,0.89
201607,0.05
201608,0.01
201609,0.02
201610,14.03
201611,7.35
201612,10.07
201701,18.30
201702,18.77
201703,7.92
201704,8.72
201705,0.57
201706,1.04
201707,0.01
201708,0.25
201709,0.85
201710,1.28
201711,9.18
201712,0.87
201801,7.62
201802,1.34
201803,8.57
201804,6.18
201805,2.08
201806,0.14
201807,0.15
201808,0.00
201809,0.24
201810,0.81
201811,6.95
201812,5.68
201901,11.37
201902,20.41
201903,8.91
201904,5.20
201905,4.29
201906,0.13
201907,0.01
201908,0.61
201909,1.24
201910,0.65
201911,2.36
201912,10.96
202001,7.66
202002,0.28
202003,3.92
202004,2.71
202005,4.42
202006,0.49
202007,0.35
202008,0.10
202009,0.14
202010,0.17
202011,2.98
202012,4.92
202101,9.14
202102,6.05
202103,4.21
202104,0.92
202105,0.15
202106,0.28
202107,0.05
202108,0.01
202109,0.99
202110,8.26
202111,4.39
202112,10.36
202201,2.07
202202,0.21
202203,1.52
202204,5.25
202205,1.01
202206,1.12
202207,0.21
202208,0.06
202209,2.18
202210,0.07
202211,5.23
202212,14.43
202301,18.02
202302,5.36
202303,15.56
202304,2.16
202305,2.16
202306,0.61
202307,0.02
202308,0.74
202309,2.19
202310,1.19
202311,3.55
202312,11.10
202401,15.97
202402,14.20
202403,10.25
202404,2.25
202405,2.01
