Trinity County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,33.5
200002,35.0
200003,32.6
200004,37.4
200005,41.4
200006,48.9
200007,51.3
200008,51.8
200009,48.6
200010,41.1
200011,32.2
200012,31.8
200101,28.8
200102,29.0
200103,35.0
200104,33.0
200105,43.4
200106,45.9
200107,52.8
200108,53.0
200109,49.3
200110,43.0
200111,37.2
200112,33.1
200201,30.2
200202,32.1
200203,30.3
200204,36.8
200205,39.3
200206,46.8
200207,54.8
200208,51.8
200209,48.5
200210,38.1
200211,34.9
200212,33.7
200301,38.1
200302,30.5
200303,34.7
200304,33.8
200305,39.8
200306,48.2
200307,55.3
200308,53.5
200309,49.7
200310,42.2
200311,33.8
200312,33.2
200401,32.1
200402,32.3
200403,35.8
200404,36.5
200405,41.0
200406,47.3
200407,55.0
200408,53.8
200409,46.7
200410,41.3
200411,34.0
200412,32.0
200501,32.6
200502,33.1
200503,34.9
200504,34.8
200505,42.2
200506,45.0
200507,55.0
200508,53.6
200509,45.8
200510,40.4
200511,35.4
200512,33.8
200601,32.9
200602,29.8
200603,30.2
200604,36.4
200605,41.8
200606,50.2
200607,56.2
200608,51.4
200609,47.2
200610,38.6
200611,36.2
200612,30.9
200701,25.6
200702,31.4
200703,34.6
200704,35.1
200705,41.0
200706,46.2
200707,55.0
200708,52.4
200709,47.2
200710,40.9
200711,35.7
200712,29.1
200801,28.9
200802,29.5
200803,30.4
200804,31.3
200805,41.4
200806,44.7
200807,53.2
200808,53.4
200809,49.0
200810,41.4
200811,38.4
200812,28.6
200901,30.9
200902,30.6
200903,31.6
200904,33.8
200905,43.0
200906,48.0
200907,53.8
200908,52.0
200909,50.1
200910,40.8
200911,33.1
200912,28.8
201001,36.0
201002,34.3
201003,31.6
201004,32.8
201005,36.7
201006,46.3
201007,54.2
201008,51.5
201009,48.6
201010,43.6
201011,34.0
201012,35.0
201101,32.2
201102,28.1
201103,33.5
201104,33.8
201105,37.6
201106,45.8
201107,52.6
201108,52.4
201109,49.9
201110,43.9
201111,33.6
201112,26.2
201201,29.4
201202,30.2
201203,31.0
201204,36.8
201205,39.5
201206,44.2
201207,52.1
201208,54.0
201209,48.9
201210,43.1
201211,38.2
201212,31.0
201301,28.2
201302,28.3
201303,33.8
201304,37.1
201305,42.1
201306,49.0
201307,56.3
201308,53.5
201309,49.2
201310,38.2
201311,34.2
201312,26.3
201401,31.3
201402,33.7
201403,35.0
201404,37.1
201405,41.5
201406,47.8
201407,58.0
201408,55.2
201409,51.7
201410,45.4
201411,38.6
201412,37.4
201501,34.9
201502,36.4
201503,37.4
201504,35.6
201505,42.8
201506,52.6
201507,56.9
201508,54.2
201509,48.7
201510,46.4
201511,32.4
201512,31.9
201601,34.8
201602,34.8
201603,35.4
201604,39.3
201605,43.6
201606,48.8
201607,53.5
201608,54.8
201609,48.5
201610,43.6
201611,38.6
201612,28.3
201701,29.7
201702,34.3
201703,36.1
201704,35.8
201705,42.0
201706,49.5
201707,54.8
201708,57.3
201709,51.6
201710,39.5
201711,38.0
201712,28.8
201801,35.9
201802,28.3
201803,31.5
201804,36.5
201805,44.0
201806,46.7
201807,56.8
201808,53.1
201809,47.4
201810,41.9
201811,34.3
201812,32.2
201901,33.9
201902,28.1
201903,32.4
201904,40.0
201905,41.1
201906,47.9
201907,53.2
201908,55.4
201909,48.8
201910,37.5
201911,34.9
201912,34.4
202001,33.8
202002,30.3
202003,30.9
202004,37.5
202005,42.3
202006,48.7
202007,54.5
202008,57.0
202009,52.6
202010,44.6
202011,33.3
202012,31.4
202101,33.0
202102,30.7
202103,29.7
202104,36.1
202105,41.9
202106,51.4
202107,58.1
202108,55.3
202109,50.5
202110,41.4
202111,37.0
202112,30.9
202201,31.2
202202,28.4
202203,34.2
202204,33.8
202205,40.0
202206,48.6
202207,55.9
202208,57.3
202209,53.0
202210,43.0
202211,31.2
202212,30.8
202301,31.6
202302,27.4
202303,28.4
202304,34.7
202305,43.4
202306,48.4
202307,55.5
202308,56.7
202309,49.8
202310,43.0
202311,36.0
202312,36.0
202401,35.6
202402,33.4
202403,32.6
202404,36.6
202405,41.7
