Yolo County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,57.4
200002,58.4
200003,67.0
200004,75.2
200005,80.8
200006,90.9
200007,90.4
200008,93.3
200009,87.3
200010,75.1
200011,59.7
200012,58.4
200101,56.4
200102,57.8
200103,70.1
200104,70.1
200105,90.4
200106,91.2
200107,92.5
200108,94.6
200109,88.9
200110,81.8
200111,65.0
200112,54.2
200201,54.4
200202,63.1
200203,65.4
200204,73.0
200205,80.4
200206,90.8
200207,95.3
200208,92.8
200209,91.0
200210,79.2
200211,67.1
200212,56.6
200301,57.9
200302,61.2
200303,68.3
200304,64.8
200305,80.2
200306,90.6
200307,98.4
200308,92.4
200309,91.8
200310,84.9
200311,60.7
200312,55.3
200401,54.0
200402,59.1
200403,74.1
200404,76.2
200405,82.2
200406,90.0
200407,93.6
200408,94.0
200409,90.1
200410,75.2
200411,62.2
200412,56.4
200501,52.5
200502,61.5
200503,68.3
200504,70.7
200505,78.7
200506,83.7
200507,98.4
200508,96.1
200509,85.8
200510,78.2
200511,68.2
200512,57.8
200601,57.6
200602,63.6
200603,57.4
200604,67.1
200605,83.2
200606,92.0
200607,98.4
200608,92.1
200609,88.8
200610,76.6
200611,63.6
200612,57.0
200701,58.8
200702,60.6
200703,72.7
200704,74.9
200705,84.0
200706,90.2
200707,94.1
200708,94.4
200709,84.6
200710,74.0
200711,69.3
200712,55.1
200801,52.5
200802,60.5
200803,68.4
200804,74.0
200805,82.5
200806,90.9
200807,94.7
200808,95.9
200809,90.7
200810,80.1
200811,67.2
200812,53.9
200901,60.8
200902,58.9
200903,66.2
200904,73.9
200905,85.0
200906,87.2
200907,95.7
200908,94.1
200909,92.9
200910,74.6
200911,66.1
200912,54.1
201001,53.9
201002,60.2
201003,65.4
201004,66.4
201005,74.6
201006,88.1
201007,93.6
201008,90.9
201009,89.4
201010,76.7
201011,64.8
201012,56.1
201101,55.5
201102,59.8
201103,61.4
201104,70.5
201105,75.2
201106,83.3
201107,91.4
201108,92.4
201109,92.5
201110,77.7
201111,61.8
201112,59.9
201201,61.4
201202,63.3
201203,62.4
201204,71.8
201205,83.3
201206,88.3
201207,92.9
201208,96.4
201209,92.0
201210,78.5
201211,66.0
201212,55.6
201301,57.0
201302,63.7
201303,70.1
201304,78.0
201305,83.2
201306,89.9
201307,95.6
201308,92.4
201309,86.5
201310,78.9
201311,69.0
201312,60.7
201401,67.6
201402,63.3
201403,69.6
201404,76.0
201405,85.6
201406,92.3
201407,95.9
201408,92.9
201409,90.1
201410,82.4
201411,66.5
201412,58.4
201501,61.2
201502,67.3
201503,74.5
201504,76.8
201505,79.4
201506,93.7
201507,94.0
201508,93.9
201509,90.1
201510,84.0
201511,62.7
201512,55.9
201601,56.0
201602,67.4
201603,66.7
201604,75.7
201605,81.7
201606,92.5
201607,95.2
201608,94.2
201609,89.9
201610,74.2
201611,65.7
201612,55.8
201701,54.3
201702,59.6
201703,68.0
201704,70.0
201705,83.2
201706,90.9
201707,97.1
201708,95.6
201709,88.9
201710,81.0
201711,64.1
201712,62.1
201801,58.4
201802,65.5
201803,64.2
201804,72.3
201805,81.3
201806,91.0
201807,96.9
201808,91.7
201809,89.2
201810,80.8
201811,68.7
201812,57.9
201901,58.9
201902,54.7
201903,63.3
201904,75.2
201905,76.3
201906,91.3
201907,93.1
201908,95.1
201909,87.5
201910,79.4
201911,70.3
201912,57.2
202001,57.7
202002,68.0
202003,64.5
202004,75.2
202005,83.3
202006,91.1
202007,95.5
202008,96.8
202009,92.2
202010,86.4
202011,67.2
202012,60.6
202101,59.6
202102,64.5
202103,66.2
202104,78.8
202105,86.3
202106,93.0
202107,97.8
202108,95.4
202109,91.7
202110,74.2
202111,65.3
202112,53.5
202201,61.5
202202,67.1
202203,71.7
202204,74.3
202205,83.0
202206,92.3
202207,95.1
202208,97.2
202209,92.5
202210,83.1
202211,63.6
202212,54.0
202301,56.7
202302,58.7
202303,58.6
202304,73.5
202305,79.0
202306,85.9
202307,97.0
202308,95.3
202309,85.6
202310,79.4
202311,67.8
202312,60.8
202401,58.2
202402,60.3
202403,64.6
202404,73.2
202405,83.3
